;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
0;2013-08-17;2013-08-17;1;68,91245110236267;65,0
1;2013-08-17;2013-08-18;2;67,94443169952267;65,0
2;2013-08-17;2013-08-19;3;67,01008781348442;64,0
3;2013-08-17;2013-08-20;4;67,18803527771068;64,0
4;2013-08-17;2013-08-21;5;67,06952338286432;65,0
5;2013-08-17;2013-08-22;6;65,7809011718985;65,0
6;2013-08-17;2013-08-23;7;65,00727803705152;64,0
7;2013-08-17;2013-08-24;8;65,42418764372437;64,0
8;2013-08-17;2013-08-25;9;65,22723228227987;63,0
9;2013-08-17;2013-08-26;10;64,94136915686758;62,0
10;2013-08-24;2013-08-24;1;65,36238049336332;64,0
11;2013-08-24;2013-08-25;2;65,11860667665164;63,0
12;2013-08-24;2013-08-26;3;65,03266688863148;62,0
13;2013-08-24;2013-08-27;4;65,00566921015198;61,0
14;2013-08-24;2013-08-28;5;65,12274668861633;61,0
15;2013-08-24;2013-08-29;6;65,21927177837452;60,0
16;2013-08-24;2013-08-30;7;64,7990866431634;59,0
17;2013-08-24;2013-08-31;8;64,06823862048648;59,0
18;2013-08-24;2013-09-01;9;64,28517380925693;58,0
19;2013-08-24;2013-09-02;10;65,11923302455202;58,0
20;2013-08-31;2013-08-31;1;64,00229896088094;59,0
21;2013-08-31;2013-09-01;2;64,2183955847825;58,0
22;2013-08-31;2013-09-02;3;65,08016239263587;58,0
23;2013-08-31;2013-09-03;4;64,96951059890159;58,0
24;2013-08-31;2013-09-04;5;63,695568907804876;58,0
25;2013-08-31;2013-09-05;6;64,67776866457112;63,0
26;2013-08-31;2013-09-06;7;61,535634700357285;69,0
27;2013-08-31;2013-09-07;8;61,98963138325011;72,0
28;2013-08-31;2013-09-08;9;60,68309156292284;69,0
29;2013-08-31;2013-09-09;10;60,55289020694591;67,0
30;2013-09-07;2013-09-07;1;61,94476158501036;72,0
31;2013-09-07;2013-09-08;2;60,56194756682583;69,0
32;2013-09-07;2013-09-09;3;60,655853723481215;67,0
33;2013-09-07;2013-09-10;4;61,03304524653079;64,0
34;2013-09-07;2013-09-11;5;59,46663370280154;61,0
35;2013-09-07;2013-09-12;6;59,03434998793636;59,0
36;2013-09-07;2013-09-13;7;58,38167420881127;58,0
37;2013-09-07;2013-09-14;8;59,10137140417755;57,0
38;2013-09-07;2013-09-15;9;58,34299562162238;56,0
39;2013-09-07;2013-09-16;10;58,505458558754725;56,0
40;2013-09-14;2013-09-14;1;59,27038305849886;57,0
41;2013-09-14;2013-09-15;2;58,66574693829153;56,0
42;2013-09-14;2013-09-16;3;58,28828430962792;56,0
43;2013-09-14;2013-09-17;4;63,10103412136205;55,0
44;2013-09-14;2013-09-18;5;68,8483126770541;55,0
45;2013-09-14;2013-09-19;6;71,97909222847517;55,0
46;2013-09-14;2013-09-20;7;68,75797850976802;56,0
47;2013-09-14;2013-09-21;8;67,01469883249834;57,0
48;2013-09-14;2013-09-22;9;63,80251141769546;56,0
49;2013-09-14;2013-09-23;10;60,9471968264808;55,0
50;2013-09-21;2013-09-21;1;66,8684981332172;57,0
51;2013-09-21;2013-09-22;2;63,7114423279389;56,0
52;2013-09-21;2013-09-23;3;60,98636646100244;55,0
53;2013-09-21;2013-09-24;4;59,68439451178354;56,0
54;2013-09-21;2013-09-25;5;58,153664789104106;62,0
55;2013-09-21;2013-09-26;6;56,901723244819856;70,0
56;2013-09-21;2013-09-27;7;54,87968709576455;73,0
57;2013-09-21;2013-09-28;8;56,740048870287424;72,0
